game_id,official_date,game_time_stp,away_name,away_score,home_name,home_score,game_state,day_night,game_type,game_number,description,venue_name
2f95fc97686da8b08c7909d0f9c60898,2024-03-02,2024-03-02 18:05:00+00,Pittsburgh Pirates,7,Detroit Tigers,3,Final,day,S,1,,Publix Field at Joker Marchant Stadium
9cfd4824879eadc90996e625cfcfa1e3,2024-03-02,2024-03-02 18:05:00+00,St. Louis Cardinals,1,Houston Astros,7,Final,day,S,1,,CACTI Park of the Palm Beaches
bca9f655168efa2c1b1d7d2b3e126574,2024-03-02,2024-03-02 18:05:00+00,Minnesota Twins,2,Philadelphia Phillies,3,Final,day,S,1,,BayCare Ballpark
da781c07ca5f0bf1327aaced7eca5138,2024-03-02,2024-03-02 18:05:00+00,New York Yankees,3,Baltimore Orioles,7,Final,day,S,1,,Ed Smith Stadium
44298bd97f977be9b0759c5aa4081109,2024-03-02,2024-03-02 18:07:00+00,Atlanta Braves,6,Toronto Blue Jays,2,Final,day,S,1,,TD Ballpark
fbe5863d8f2414c52df2de638b7a673b,2024-03-02,2024-03-02 18:10:00+00,New York Mets,1,Miami Marlins,4,Final,day,S,1,,Roger Dean Chevrolet Stadium
7fed47fef0e2a5b066bce36ff7792779,2024-03-02,2024-03-02 20:05:00+00,Kansas City Royals,13,Cleveland Guardians,12,Final,day,S,1,,Goodyear Ballpark
3ad26f16f1a028ae11270e51dde06f2c,2024-03-02,2024-03-02 20:05:00+00,San Diego Padres,3,San Francisco Giants,2,Final,day,S,1,,Scottsdale Stadium
7f77f8a74e3a734f87f9f745a90dbe37,2024-03-02,2024-03-02 20:05:00+00,Chicago White Sox,3,Texas Rangers,14,Final,day,S,1,,Surprise Stadium
a18841792f2e8c0c9fa62df487a5883d,2024-03-02,2024-03-02 20:10:00+00,Arizona Diamondbacks,1,Los Angeles Angels,4,Final,day,S,1,,Tempe Diablo Stadium
d7498785b88284c6d9a87aea26d3ca45,2024-03-02,2024-03-02 20:10:00+00,Cincinnati Reds,4,Colorado Rockies,10,Final,day,S,1,,Salt River Fields at Talking Stick
b9255b38ca35c0ebb2b2f41a14eea020,2024-03-02,2024-03-02 20:10:00+00,Oakland Athletics,12,Seattle Mariners,8,Final,day,S,1,,Peoria Stadium
0b4c2403cd8dcf63dcc6d232b901293f,2024-03-03,2024-03-03 18:05:00+00,Baltimore Orioles,5,Pittsburgh Pirates,2,Final,day,S,1,,LECOM Park
856193e34e5079fe71ad68a4711fe563,2024-03-03,2024-03-03 18:05:00+00,Toronto Blue Jays,1,Boston Red Sox,3,Final,day,S,1,,JetBlue Park
153da496ea973d2452d7d0a15268152a,2024-03-03,2024-03-03 18:05:00+00,Tampa Bay Rays,4,Minnesota Twins,4,Final,day,S,1,,Lee Health Sports Complex
ffb0abf3b0f3a43e62366c6c0344d9f2,2024-03-03,2024-03-03 18:05:00+00,Philadelphia Phillies,2,Atlanta Braves,3,Final,day,S,1,,CoolToday Park
