game_id,commence_time_pst,away_team,home_team,bookmaker,team_name_1,team_1_price,team_name_2,team_2_price
da781c07ca5f0bf1327aaced7eca5138,2024-03-02 10:05:00+00,New York Yankees,Baltimore Orioles,ESPN BET,Baltimore Orioles,-180,New York Yankees,145
da781c07ca5f0bf1327aaced7eca5138,2024-03-02 10:05:00+00,New York Yankees,Baltimore Orioles,betPARX,Baltimore Orioles,-167,New York Yankees,138
2f95fc97686da8b08c7909d0f9c60898,2024-03-02 10:05:00+00,Pittsburgh Pirates,Detroit Tigers,ESPN BET,Detroit Tigers,-150,Pittsburgh Pirates,120
2f95fc97686da8b08c7909d0f9c60898,2024-03-02 10:05:00+00,Pittsburgh Pirates,Detroit Tigers,betPARX,Detroit Tigers,-139,Pittsburgh Pirates,115
9cfd4824879eadc90996e625cfcfa1e3,2024-03-02 10:05:00+00,St. Louis Cardinals,Houston Astros,ESPN BET,Houston Astros,-265,St. Louis Cardinals,200
9cfd4824879eadc90996e625cfcfa1e3,2024-03-02 10:05:00+00,St. Louis Cardinals,Houston Astros,betPARX,Houston Astros,-245,St. Louis Cardinals,195
bca9f655168efa2c1b1d7d2b3e126574,2024-03-02 10:05:00+00,Minnesota Twins,Philadelphia Phillies,ESPN BET,Minnesota Twins,145,Philadelphia Phillies,-180
bca9f655168efa2c1b1d7d2b3e126574,2024-03-02 10:05:00+00,Minnesota Twins,Philadelphia Phillies,betPARX,Minnesota Twins,138,Philadelphia Phillies,-167
44298bd97f977be9b0759c5aa4081109,2024-03-02 10:07:00+00,Atlanta Braves,Toronto Blue Jays,ESPN BET,Atlanta Braves,190,Toronto Blue Jays,-250
44298bd97f977be9b0759c5aa4081109,2024-03-02 10:07:00+00,Atlanta Braves,Toronto Blue Jays,betPARX,Atlanta Braves,195,Toronto Blue Jays,-245
fbe5863d8f2414c52df2de638b7a673b,2024-03-02 10:10:00+00,New York Mets,Miami Marlins,ESPN BET,Miami Marlins,-125,New York Mets,100
fbe5863d8f2414c52df2de638b7a673b,2024-03-02 10:10:00+00,New York Mets,Miami Marlins,betPARX,Miami Marlins,-127,New York Mets,105
7f77f8a74e3a734f87f9f745a90dbe37,2024-03-02 12:05:00+00,Chicago White Sox,Texas Rangers,ESPN BET,Chicago White Sox,120,Texas Rangers,-150
7f77f8a74e3a734f87f9f745a90dbe37,2024-03-02 12:05:00+00,Chicago White Sox,Texas Rangers,betPARX,Chicago White Sox,125,Texas Rangers,-152
7fed47fef0e2a5b066bce36ff7792779,2024-03-02 12:05:00+00,Kansas City Royals,Cleveland Guardians,ESPN BET,Cleveland Guardians,-125,Kansas City Royals,100
7fed47fef0e2a5b066bce36ff7792779,2024-03-02 12:05:00+00,Kansas City Royals,Cleveland Guardians,betPARX,Cleveland Guardians,-122,Kansas City Royals,102
3ad26f16f1a028ae11270e51dde06f2c,2024-03-02 12:05:00+00,San Diego Padres,San Francisco Giants,ESPN BET,San Diego Padres,125,San Francisco Giants,-155
3ad26f16f1a028ae11270e51dde06f2c,2024-03-02 12:05:00+00,San Diego Padres,San Francisco Giants,betPARX,San Diego Padres,128,San Francisco Giants,-157
